District,Neighbourhood,Sum of Populatiion,Province
Türkoğlu,Güllühüyük Mah.,435,Kahramanmaraş
Türkoğlu,Hacıbebek Mah.,667,Kahramanmaraş
Türkoğlu,Hopurlu Mah.,1640,Kahramanmaraş
Türkoğlu,İmalı Mah.,2043,Kahramanmaraş
Türkoğlu,İstasyon Mah.,5425,Kahramanmaraş
Türkoğlu,Kadıoğluçiftliği Mah.,832,Kahramanmaraş
Türkoğlu,Kaledibi Mah.,350,Kahramanmaraş
Türkoğlu,Kelibişler Mah.,107,Kahramanmaraş
Türkoğlu,Kılılı Mah.,7542,Kahramanmaraş
Türkoğlu,Kırmakaya Mah.,1981,Kahramanmaraş
Türkoğlu,Kızıleniş Mah.,501,Kahramanmaraş
Türkoğlu,Küçükimalı Mah.,1039,Kahramanmaraş
Türkoğlu,Kumçatı Mah.,96,Kahramanmaraş
Türkoğlu,Kuyumcular Mah.,313,Kahramanmaraş
Türkoğlu,Minehüyük Mah.,644,Kahramanmaraş
Türkoğlu,Önsenhopuru Mah.,770,Kahramanmaraş
Türkoğlu,Özbek Mah.,244,Kahramanmaraş
Türkoğlu,Pınarhüyük Mah.,163,Kahramanmaraş
Türkoğlu,Şekeroba Mah.,7938,Kahramanmaraş
Türkoğlu,Tahtalıdedeler Mah.,165,Kahramanmaraş
Türkoğlu,Uzunsöğüt Mah.,1784,Kahramanmaraş
Türkoğlu,Yavuzlar Mah.,292,Kahramanmaraş
Türkoğlu,Yeniköy Mah.,227,Kahramanmaraş
Türkoğlu,Yenipınar Mah.,448,Kahramanmaraş
Türkoğlu,Yeşilyöre Mah.,3978,Kahramanmaraş
Türkoğlu,Yeşilyurt Mah.,110,Kahramanmaraş
Türkoğlu,Yolderesi Mah.,1422,Kahramanmaraş
